,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket,segmentClosed,date,time
335,31.0,365684611,37.0,48.0,0.043,XDS,30.0,38.0,3.0,,2022-09-20,10:16
336,31.0,365679657,37.0,47.0,0.019,XDS,30.0,38.0,3.0,,2022-09-20,10:16
337,31.0,365765564,37.0,29.0,0.026,XDS,30.0,38.0,2.0,,2022-09-20,10:16
338,31.0,365757411,37.0,42.0,0.877,XDS,30.0,38.0,3.0,,2022-09-20,10:16
339,27.0,460605256,31.0,23.0,1.521,XDS,30.0,100.0,2.0,,2022-09-20,10:16
340,32.0,365765545,35.0,47.0,0.021,XDS,30.0,100.0,3.0,,2022-09-20,10:16
341,32.0,365684396,35.0,39.0,0.898,XDS,30.0,100.0,3.0,,2022-09-20,10:16
342,31.0,406789164,35.0,48.0,0.225,XDS,30.0,12.0,3.0,,2022-09-20,10:16
343,10.0,365630435,11.0,10.0,0.067,XDS,30.0,99.0,2.0,,2022-09-20,10:16
344,16.0,365631737,18.0,10.0,1.028,XDS,30.0,100.0,1.0,,2022-09-20,10:16
345,29.0,406789162,35.0,37.0,0.017,XDS,30.0,56.0,3.0,,2022-09-20,10:16
346,29.0,365710214,35.0,40.0,0.018,XDS,30.0,56.0,3.0,,2022-09-20,10:16
347,29.0,406789165,35.0,39.0,0.268,XDS,30.0,56.0,3.0,,2022-09-20,10:16
348,34.0,332805457,39.0,34.0,0.56,XDS,30.0,87.0,2.0,,2022-09-20,10:16
349,29.0,365703251,27.0,13.0,0.073,XDS,30.0,100.0,1.0,,2022-09-20,10:16
350,29.0,365664696,27.0,14.0,0.594,XDS,30.0,100.0,1.0,,2022-09-20,10:16
351,29.0,255936750,27.0,11.0,0.116,XDS,30.0,100.0,1.0,,2022-09-20,10:16
352,34.0,260499240,32.0,29.0,0.027,XDS,20.0,,2.0,,2022-09-20,10:16
353,34.0,406789163,32.0,29.0,0.155,XDS,20.0,,2.0,,2022-09-20,10:16
354,34.0,365730799,32.0,29.0,0.179,XDS,20.0,,2.0,,2022-09-20,10:16
355,24.0,365734264,27.0,23.0,0.041,XDS,20.0,,2.0,,2022-09-20,10:16
356,24.0,365682739,27.0,23.0,0.449,XDS,20.0,,2.0,,2022-09-20,10:16
357,51.0,365676887,58.0,27.0,0.04,XDS,30.0,100.0,1.0,,2022-09-20,10:16
358,51.0,365676813,58.0,39.0,0.05,XDS,30.0,100.0,2.0,,2022-09-20,10:16
359,51.0,365676987,58.0,18.0,0.113,XDS,30.0,100.0,0.0,,2022-09-20,10:16
360,51.0,365624225,58.0,56.0,1.099,XDS,30.0,100.0,3.0,,2022-09-20,10:16
361,72.0,264116474,74.0,63.0,0.407,XDS,30.0,59.0,2.0,,2022-09-20,10:16
362,97.0,365637799,100.0,105.0,0.242,XDS,30.0,100.0,3.0,,2022-09-20,10:16
363,76.0,406789186,77.0,68.0,0.327,XDS,30.0,100.0,2.0,,2022-09-20,10:16
364,95.0,365649028,100.0,92.0,0.32,XDS,30.0,100.0,2.0,,2022-09-20,10:16
